criticality_tier,life_support,device_type_encoded,ward_encoded,protocol_encoded,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type_encoded,attack_severity,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score
9,1,0,3,3,1333,1483,24.72,25,191,1976839,1238925,59.72,5,4,1,0,7,28,0.768069,0.841113,0.462562
10,1,0,3,3,1415,748,12.47,8,26,1058420,639999,11.1,12,2,0,0,0,20,0.933402,0.757992,0.561868
9,1,0,3,3,1997,701,11.68,50,43,1399897,448751,27.95,10,6,0,1,0,30,0.64466,0.80505,0.322295
7,0,4,0,1,278,30,0.5,1,2,8340,5125,48.75,14,1,0,0,6,0,0.120568,0.047047,0.042948
6,0,4,1,3,647,608,10.13,28,41,393376,182615,32.5,8,0,0,0,2,40,0.960397,0.78127,0.270193
10,1,3,3,3,1235,1112,18.53,11,92,1373320,702702,14.0,12,4,0,0,4,38,0.726766,0.628897,0.49458
5,0,4,4,3,469,18,0.3,1,2,8442,4534,19.74,12,2,0,0,6,0,0.185605,0.000514,0.050797
8,0,2,0,4,664,969,16.15,47,17,643416,234017,14.55,19,6,0,1,2,41,0.91138,0.907219,0.575233
5,0,4,4,3,1474,748,12.47,29,87,1102552,509647,40.12,16,6,0,1,3,45,0.87171,0.819021,0.521414
6,0,2,2,4,226,47,0.78,1,0,10622,6895,57.1,4,4,1,0,6,0,0.062822,0.130058,0.082265
8,0,4,3,3,309,17,0.28,1,0,5253,2402,43.37,8,3,0,0,6,0,0.159992,0.135379,0.035256
5,0,4,5,1,450,23,0.38,1,2,10350,6103,6.24,13,2,0,0,6,0,0.160232,0.150856,0.076674
8,0,2,0,4,1553,1054,17.57,5,102,1636862,781725,10.34,11,5,0,1,8,25,0.687309,0.842139,0.558347
9,1,0,3,3,332,34,0.57,1,2,11288,6679,38.9,4,5,1,1,6,0,0.051866,0.056733,0.087905
5,0,4,4,3,1762,1088,18.13,10,115,1917056,769336,44.72,15,4,0,0,2,40,0.960545,0.744278,0.375109
6,0,4,1,3,283,12,0.2,1,5,3396,1770,35.83,5,3,1,0,6,0,0.14157,0.186651,0.072411
10,1,0,3,3,423,22,0.37,1,1,9306,5493,54.89,20,6,0,1,6,0,0.046316,0.017592,0.095696
7,0,3,1,0,547,975,16.25,31,40,533325,172121,28.51,2,3,1,0,0,30,0.734259,0.84688,0.591275
7,0,2,1,4,497,42,0.7,1,5,20874,10762,9.08,10,6,0,1,6,0,0.118428,0.072678,0.091168
9,1,0,3,3,436,24,0.4,1,2,10464,4762,48.06,21,4,0,0,6,0,0.153938,0.175669,0.006684
6,0,4,1,3,334,9,0.15,1,2,3006,1867,50.52,0,4,1,0,6,0,0.170348,0.136683,0.072074
7,0,2,5,4,908,1379,22.98,14,52,1252132,428417,31.27,21,0,0,0,4,37,0.83513,0.640921,0.342735
7,0,3,1,0,732,917,15.28,41,183,671244,276730,49.11,13,6,0,1,4,38,0.920448,0.881217,0.255565
5,0,3,2,0,205,20,0.33,1,3,4100,1481,41.29,5,4,1,0,6,0,0.063654,0.072203,0.035408
8,0,2,0,4,322,7,0.12,1,0,2254,1136,10.58,10,5,0,1,6,0,0.158108,0.152967,0.02226
4,0,1,4,1,286,11,0.18,1,1,3146,1809,39.95,22,5,0,1,6,0,0.180165,0.062018,0.093079
7,0,3,1,0,257,49,0.82,1,0,12593,8678,26.6,7,4,0,0,6,0,0.083011,0.142263,0.055791
9,1,0,3,3,442,8,0.13,1,1,3536,1735,25.81,20,2,0,0,6,0,0.053384,0.031372,0.072788
10,1,0,3,3,1572,1240,20.67,41,160,1949280,842288,56.51,13,6,0,1,3,45,0.724141,0.735181,0.300002
7,0,4,0,1,369,40,0.67,1,4,14760,7037,7.72,5,5,1,1,6,0,0.011816,0.052367,0.078848
7,0,3,1,0,366,48,0.8,1,0,17568,9370,26.16,13,5,0,1,6,0,0.024183,0.048111,0.053435
5,0,1,1,1,189,24,0.4,1,2,4536,2144,3.71,3,3,1,0,6,0,0.098926,0.005592,0.037893
10,1,0,3,3,347,34,0.57,1,2,11798,7061,49.96,13,6,0,1,6,0,0.051661,0.029613,0.005738
6,0,4,1,1,1089,189,3.15,7,115,205821,143399,11.0,3,5,1,1,5,35,0.888032,0.691481,0.524611
8,0,4,3,3,148,20,0.33,1,4,2960,1907,23.15,15,2,0,0,6,0,0.181988,0.125503,0.018013
6,0,4,1,1,1697,1275,21.25,9,130,2163675,882925,6.57,8,5,0,1,0,30,0.870989,0.899297,0.458098
7,0,2,1,4,219,48,0.8,1,0,10512,6617,35.01,23,1,1,0,6,0,0.04168,0.085691,0.001812
7,0,4,0,1,1168,656,10.93,5,194,766208,399954,18.2,3,6,1,1,1,42,0.978486,0.718522,0.187602
5,0,4,4,3,833,1994,33.23,27,77,1661002,1104113,2.04,13,5,0,1,8,25,0.681737,0.640378,0.177838
5,0,3,4,0,414,29,0.48,1,0,12006,7414,10.07,22,6,0,1,6,0,0.047111,0.003066,0.072016
10,1,3,3,3,1332,1075,17.92,10,41,1431900,641006,7.62,1,5,1,1,7,28,0.989802,0.733644,0.321615
8,0,2,0,4,335,12,0.2,1,2,4020,1770,8.77,14,2,0,0,6,0,0.094325,0.150959,0.088417
10,1,0,3,3,1878,173,2.88,5,83,324894,182107,32.52,8,4,0,0,2,40,0.826942,0.933787,0.420056
9,1,0,3,3,308,21,0.35,1,1,6468,2204,38.62,12,3,0,0,6,0,0.146178,0.02395,0.009693
7,0,4,0,1,695,968,16.13,22,161,672760,357207,57.07,4,2,1,0,2,40,0.87708,0.686899,0.412635
7,0,4,0,1,438,46,0.77,1,4,20148,11155,30.19,2,2,1,0,6,0,0.100015,0.031229,0.067104
8,0,4,3,3,1129,1562,26.03,49,130,1763498,723542,15.33,8,4,0,0,5,35,0.849338,0.789993,0.585091
6,0,4,1,1,239,17,0.28,1,2,4063,2629,3.71,12,2,0,0,6,0,0.157171,0.142992,0.000501
8,0,2,0,4,1302,1568,26.13,45,180,2041536,1134092,42.97,8,0,0,0,0,30,0.705125,0.912013,0.452365
8,0,4,3,3,1678,262,4.37,16,130,439636,136884,49.95,2,6,1,1,8,28,0.921051,0.81138,0.220402
8,0,4,3,3,347,17,0.28,1,1,5899,2285,51.89,1,0,1,0,6,0,0.197544,0.187454,0.088044
7,0,3,1,0,1477,1532,25.53,11,104,2262764,1245889,26.93,8,2,0,0,8,25,0.750133,0.585039,0.515383
5,0,1,1,1,339,29,0.48,1,3,9831,6207,14.28,9,5,0,1,6,0,0.169789,0.109784,0.051189
8,0,2,0,4,320,36,0.6,1,1,11520,7701,36.43,7,0,0,0,6,0,0.147891,0.07465,0.097082
9,1,0,0,3,137,24,0.4,1,2,3288,1381,18.84,21,4,0,0,6,0,0.024331,0.046334,0.08567
6,0,2,2,4,444,32,0.53,1,3,14208,5350,14.97,11,0,0,0,6,0,0.0439,0.196226,0.069132
10,1,3,3,3,151,9,0.15,1,0,1359,427,33.04,5,2,1,0,6,0,0.053408,0.028899,0.060052
7,0,3,1,0,182,9,0.15,1,4,1638,733,38.08,11,0,0,0,6,0,0.080803,0.191518,0.01127
10,1,0,3,3,249,35,0.58,1,3,8715,2964,50.1,19,2,0,0,6,0,0.176511,0.166819,0.031854
5,0,3,4,0,272,41,0.68,1,1,11152,3828,36.61,5,2,1,0,6,0,0.111862,0.173494,0.024353
7,0,4,0,1,477,33,0.55,1,3,15741,9117,28.12,12,4,0,0,6,0,0.012995,0.184411,0.010161
7,0,2,1,4,351,14,0.23,1,5,4914,3407,48.7,19,2,0,0,6,0,0.083621,0.195036,0.050148
4,0,1,4,1,424,27,0.45,1,0,11448,4176,52.16,20,5,0,1,6,0,0.024092,0.194722,0.018089
10,1,3,3,3,339,13,0.22,1,5,4407,2144,21.05,6,2,0,0,6,0,0.047057,0.113713,0.06734
6,0,4,1,3,305,41,0.68,1,1,12505,5444,59.06,6,3,0,0,6,0,0.072578,0.051184,0.030885
4,0,1,4,1,1696,264,4.4,23,91,447744,229347,51.4,10,2,0,0,0,36,0.949159,0.684007,0.470364
7,0,4,0,1,267,44,0.73,1,2,11748,7433,41.85,10,1,0,0,6,0,0.168467,0.056354,0.014063
6,0,4,1,1,1848,859,14.32,5,197,1587432,796094,0.22,18,2,0,0,8,22,0.728526,0.717329,0.240106
7,0,2,5,4,165,33,0.55,1,1,5445,1936,48.63,5,2,1,0,6,0,0.153546,0.033211,0.092552
5,0,1,1,1,378,7,0.12,1,0,2646,1441,14.78,23,1,1,0,6,0,0.164092,0.052848,5.7e-05
5,0,4,5,1,170,18,0.3,1,3,3060,1123,29.92,11,6,0,1,6,0,0.116309,0.179131,0.076878
4,0,4,2,2,1347,938,15.63,31,35,1263486,756694,9.75,18,1,0,0,3,45,0.837646,0.715514,0.257986
5,0,1,1,1,311,39,0.65,1,4,12129,5416,51.07,17,4,0,0,6,0,0.164299,0.146627,0.099859
5,0,4,4,3,428,11,0.18,1,3,4708,3117,43.52,13,2,0,0,6,0,0.064763,0.00969,0.07452
5,0,3,2,0,414,18,0.3,1,2,7452,4396,21.7,16,0,0,0,6,0,0.009888,0.117928,0.010143
9,1,3,0,3,395,7,0.12,1,4,2765,1493,24.39,22,6,0,1,6,0,0.158546,0.013849,0.045181
4,0,1,4,1,254,35,0.58,1,0,8890,5994,32.6,10,6,0,1,6,0,0.131923,0.070124,0.080969
7,0,2,1,4,510,534,8.9,39,130,272340,115036,34.06,21,5,0,1,0,30,0.929747,0.708799,0.562298
8,0,2,0,4,499,32,0.53,1,0,15968,6665,45.52,6,2,0,0,6,0,0.112668,0.123555,0.064888
9,1,0,3,3,898,847,14.12,41,176,760606,394402,9.33,1,1,1,0,7,37,0.780298,0.934349,0.229664
5,0,4,4,3,749,192,3.2,22,120,143808,68657,5.44,17,1,0,0,0,30,0.755452,0.906881,0.390471
4,0,4,2,2,386,11,0.18,1,5,4246,2254,15.34,7,2,0,0,6,0,0.19425,0.180341,0.028377
8,0,2,0,4,756,1167,19.45,43,82,882252,412472,4.7,8,4,0,0,0,30,0.666008,0.504477,0.266582
6,0,4,1,3,251,21,0.35,1,4,5271,1673,39.94,0,0,1,0,6,0,0.145085,0.010797,0.038239
4,0,1,4,1,457,22,0.37,1,0,10054,3520,49.26,14,1,0,0,6,0,0.151557,0.160728,0.035618
10,1,3,3,3,335,17,0.28,1,0,5695,2933,6.06,6,2,0,0,6,0,0.065081,0.188137,0.03685
4,0,4,2,2,482,39,0.65,1,4,18798,8122,44.64,11,0,0,0,6,0,0.162721,0.078775,0.070139
10,1,3,3,3,321,17,0.28,1,2,5457,3137,26.59,9,6,0,1,6,0,0.182422,0.079487,0.092161
4,0,4,2,2,512,39,0.65,1,2,19968,6812,37.69,13,1,0,0,6,0,0.1005,0.147225,0.069382
7,0,4,0,1,503,11,0.18,1,3,5533,1769,41.89,15,0,0,0,6,0,0.132185,0.120308,0.075198
6,0,4,1,1,1939,669,11.15,14,173,1297191,626941,1.61,22,6,0,1,8,16,0.758626,0.725841,0.298735
7,0,2,1,4,169,42,0.7,1,4,7098,3716,2.38,3,6,1,1,6,0,0.133775,0.172534,0.010988
9,1,0,3,3,432,23,0.38,1,5,9936,3403,7.67,7,4,0,0,6,0,0.000964,0.036907,0.020751
7,0,2,1,4,1838,1590,26.5,34,163,2922420,1994757,2.9,20,5,0,1,3,45,0.845904,0.826168,0.589687
7,0,3,1,0,1276,1617,26.95,12,107,2063292,663415,44.4,0,1,1,0,8,25,0.753444,0.820241,0.598744
8,0,2,0,4,385,7,0.12,1,1,2695,1284,2.06,10,2,0,0,6,0,0.096522,0.188581,0.084147
6,0,4,1,3,397,31,0.52,1,2,12307,3748,9.67,13,4,0,0,6,0,0.154732,0.019284,0.096903
5,0,3,2,0,1296,1379,22.98,46,164,1787184,1154703,13.64,14,6,0,1,8,25,0.668201,0.535976,0.289778
6,0,4,1,1,331,6,0.1,1,4,1986,931,25.45,19,3,0,0,6,0,0.054648,0.050386,0.094531
9,1,3,0,3,314,15,0.25,1,1,4710,1677,15.43,14,2,0,0,6,0,0.022387,0.081974,0.035994
5,0,4,5,1,151,41,0.68,1,3,6191,2403,47.58,13,5,0,1,6,0,0.137714,0.115784,0.032887
5,0,3,2,0,417,47,0.78,1,0,19599,9969,28.39,22,6,0,1,6,0,0.159156,0.163199,0.059378
5,0,1,1,1,1183,822,13.7,49,168,972426,419090,43.8,13,1,0,0,1,42,0.780813,0.739746,0.467089
10,1,0,3,3,1787,642,10.7,44,120,1147254,691929,59.22,3,6,1,1,4,33,0.78269,0.880218,0.511913
6,0,2,2,4,1552,913,15.22,12,167,1416976,583947,40.38,18,1,0,0,7,28,0.714225,0.842312,0.329901
7,0,2,5,4,289,17,0.28,1,5,4913,2988,4.07,3,0,1,0,6,0,0.090626,0.107807,0.084305
9,1,3,0,3,511,19,0.32,1,2,9709,4869,24.88,22,1,0,0,6,0,0.078383,0.140778,0.020311
9,1,0,3,3,1106,1970,32.83,49,15,2178820,993090,58.66,1,1,1,0,5,35,0.66846,0.645512,0.194347
7,0,3,1,0,430,33,0.55,1,5,14190,7296,19.68,19,3,0,0,6,0,0.153553,0.16939,0.066399
5,0,4,5,1,1492,1002,16.7,5,130,1494984,858100,21.75,5,1,1,0,1,42,0.948202,0.824353,0.526453
9,1,0,0,3,242,15,0.25,1,3,3630,1148,48.4,4,5,1,1,6,0,0.175234,0.10245,0.064391
8,0,4,3,3,419,6,0.1,1,3,2514,1748,15.09,5,2,1,0,6,0,0.112932,0.053092,0.041916
9,1,0,0,3,156,33,0.55,1,4,5148,2603,45.01,12,2,0,0,6,0,0.139256,0.11093,0.024289
7,0,4,0,1,160,9,0.15,1,4,1440,733,4.27,17,5,0,1,6,0,0.003588,0.133957,0.07124
7,0,2,5,4,273,48,0.8,1,2,13104,5526,45.77,14,4,0,0,6,0,0.171655,0.130905,0.018755
7,0,4,0,1,1954,834,13.9,6,90,1629636,1037445,0.62,7,4,0,0,8,25,0.993426,0.948583,0.339203
4,0,4,2,2,376,21,0.35,1,1,7896,3343,47.6,5,3,1,0,6,0,0.058228,0.053498,0.072059
6,0,2,2,4,894,331,5.52,27,186,295914,156028,54.04,18,4,0,0,4,38,0.963272,0.863208,0.37024
6,0,2,2,4,443,27,0.45,1,4,11961,6715,14.06,3,0,1,0,6,0,0.159048,0.013511,0.035281
10,1,3,3,3,1435,1481,24.68,44,188,2125235,1466877,55.99,6,4,0,0,8,33,0.880834,0.775104,0.306714
4,0,1,4,1,176,22,0.37,1,0,3872,1967,41.2,3,2,1,0,6,0,0.14713,0.084285,0.026511
10,1,3,3,3,373,22,0.37,1,2,8206,2593,17.58,19,6,0,1,6,0,0.049526,0.174979,0.059785
8,0,4,3,3,259,13,0.22,1,2,3367,1663,14.5,0,3,1,0,6,0,0.154291,0.006158,0.062078
9,1,0,0,3,389,17,0.28,1,4,6613,2744,49.29,19,4,0,0,6,0,0.007516,0.179599,0.061494
5,0,3,4,0,1415,366,6.1,50,21,517890,163752,18.91,4,3,1,0,8,25,0.889338,0.824346,0.373042
5,0,3,2,0,505,19,0.32,1,3,9595,6145,38.81,10,4,0,0,6,0,0.187803,0.037527,0.094289
8,0,2,0,4,492,41,0.68,1,3,20172,9599,2.79,7,6,0,1,6,0,0.163349,0.169209,0.067775
5,0,1,1,1,773,669,11.15,12,120,517137,155369,3.65,22,0,0,0,5,35,0.835442,0.636047,0.196479
10,1,3,3,3,425,7,0.12,1,2,2975,1871,54.9,10,3,0,0,6,0,0.035955,0.042827,0.021596
8,0,4,3,3,1554,1983,33.05,4,76,3081582,1524668,45.98,22,5,0,1,1,42,0.939977,0.595279,0.580714
10,1,0,3,3,332,46,0.77,1,3,15272,7667,43.73,15,4,0,0,6,0,0.119768,0.199548,0.053364
5,0,3,2,0,689,1123,18.72,38,74,773747,293576,43.86,11,3,0,0,5,35,0.931555,0.892057,0.275123
4,0,4,2,2,394,49,0.82,1,0,19306,10504,27.85,19,5,0,1,6,0,0.099737,0.183767,0.088871
7,0,4,0,1,461,15,0.25,1,3,6915,4332,40.91,15,1,0,0,6,0,0.020524,0.083242,0.03198
7,0,2,1,4,159,33,0.55,1,2,5247,2355,57.48,5,6,1,1,6,0,0.198109,0.176428,0.078936
5,0,4,4,3,406,18,0.3,1,5,7308,4020,43.11,20,1,0,0,6,0,0.007053,0.030319,0.083052
5,0,4,4,3,453,41,0.68,1,0,18573,10445,11.69,4,4,1,0,6,0,0.107623,0.029385,0.038843
8,0,2,0,4,160,19,0.32,1,0,3040,2086,11.43,18,2,0,0,6,0,0.078125,0.128422,0.017435
9,1,0,3,3,193,42,0.7,1,4,8106,5300,16.35,3,1,1,0,6,0,0.069704,0.163164,0.089346
9,1,0,0,3,412,20,0.33,1,1,8240,5647,2.78,9,6,0,1,6,0,0.121887,0.046783,0.074143
5,0,3,4,0,1695,1511,25.18,20,150,2561145,1281703,31.46,22,2,0,0,0,30,0.815585,0.802631,0.422838
6,0,4,1,1,1364,262,4.37,22,124,357368,182672,13.16,10,4,0,0,3,45,0.85354,0.629412,0.543128
6,0,4,1,1,600,676,11.27,33,137,405600,248777,47.12,16,1,0,0,3,45,0.938768,0.572038,0.281995
4,0,1,4,1,1141,462,7.7,14,122,527142,278884,32.61,9,1,0,0,0,30,0.846036,0.648356,0.298416
7,0,2,5,4,506,392,6.53,6,117,198352,66145,39.76,13,2,0,0,0,29,0.979165,0.949845,0.243545
9,1,3,0,3,324,38,0.63,1,3,12312,3904,54.5,11,0,0,0,6,0,0.002932,0.151089,0.012585
6,0,4,1,1,421,16,0.27,1,5,6736,4408,3.81,13,1,0,0,6,0,0.173698,0.112095,0.077072
4,0,1,4,1,406,45,0.75,1,0,18270,12556,51.79,2,5,1,1,6,0,0.1494,0.184417,0.002482
6,0,2,2,4,440,37,0.62,1,3,16280,8245,46.95,13,3,0,0,6,0,0.05291,0.155381,0.055199
6,0,2,2,4,202,24,0.4,1,0,4848,2928,52.65,18,3,0,0,6,0,0.053857,0.153403,0.059312
4,0,4,2,2,1585,1543,25.72,40,76,2445655,1617855,43.17,4,1,1,0,8,19,0.898831,0.916236,0.453714
4,0,1,4,1,501,29,0.48,1,3,14529,6672,53.32,10,5,0,1,6,0,0.146087,0.175584,0.011426
8,0,4,3,3,247,26,0.43,1,1,6422,4054,49.76,18,1,0,0,6,0,0.111143,0.144084,0.001587
9,1,0,0,3,1224,1231,20.52,19,26,1506744,843796,8.68,1,6,1,1,3,45,0.921653,0.72419,0.496494
6,0,2,2,4,511,16,0.27,1,0,8176,3000,43.09,6,6,0,1,6,0,0.009025,0.132899,0.060655
10,1,0,3,3,1656,401,6.68,33,150,664056,308307,22.01,2,6,1,1,5,35,0.925433,0.765355,0.539573
5,0,3,4,0,298,32,0.53,1,2,9536,6330,55.7,5,2,1,0,6,0,0.112929,0.083701,0.05799
8,0,4,3,3,1787,559,9.32,5,178,998933,693855,27.63,16,5,0,1,7,28,0.72831,0.542946,0.373273
6,0,4,1,3,301,31,0.52,1,4,9331,3041,29.61,15,5,0,1,6,0,0.101599,0.132617,0.053093
9,1,0,3,3,1855,518,8.63,7,75,960890,519330,9.78,14,1,0,0,8,25,0.752326,0.638965,0.24022
6,0,2,2,4,344,23,0.38,1,3,7912,4495,18.92,17,5,0,1,6,0,0.182172,0.067515,0.037622
7,0,2,1,4,482,43,0.72,1,3,20726,7524,48.9,4,0,1,0,6,0,0.071753,0.11825,0.098082
4,0,4,2,2,323,36,0.6,1,3,11628,7306,14.08,4,4,1,0,6,0,0.133829,0.136612,0.064229
8,0,2,0,4,385,35,0.58,1,3,13475,8511,8.07,21,6,0,1,6,0,0.082433,0.139127,0.077256
6,0,4,1,1,478,15,0.25,1,5,7170,3604,50.74,17,1,0,0,6,0,0.156047,0.079779,0.076612
7,0,3,1,0,582,1530,25.5,7,107,890460,556823,3.01,10,4,0,0,3,45,0.732344,0.858189,0.594564
5,0,1,1,1,478,46,0.77,1,3,21988,8676,9.05,8,5,0,1,6,0,0.084359,0.110231,0.039579
5,0,3,2,0,1513,458,7.63,5,89,692954,459564,58.26,0,1,1,0,5,35,0.910471,0.776108,0.352383
9,1,0,0,3,135,40,0.67,1,4,5400,2353,56.86,19,0,0,0,6,0,0.127799,0.043654,0.088743
7,0,4,0,1,423,36,0.6,1,4,15228,9579,20.48,7,6,0,1,6,0,0.028769,0.124856,0.012581
5,0,1,1,1,1369,656,10.93,30,147,898064,536415,31.11,7,3,0,0,3,45,0.720145,0.59838,0.360141
5,0,4,5,1,225,36,0.6,1,5,8100,4206,14.13,7,5,0,1,6,0,0.099974,0.196372,0.006281
7,0,2,1,4,510,50,0.83,1,0,25500,15721,20.67,15,4,0,0,6,0,0.10617,0.0408,0.046258
9,1,3,0,3,1363,330,5.5,5,63,449790,237814,2.51,11,6,0,1,1,42,0.688641,0.664,0.266861
10,1,0,3,3,551,507,8.45,48,28,279357,136261,6.7,18,6,0,1,3,45,0.718431,0.58963,0.346098
9,1,0,3,3,693,1159,19.32,30,100,803187,422893,29.77,19,0,0,0,5,35,0.945008,0.71323,0.580023
8,0,4,3,3,712,1928,32.13,13,157,1372736,605413,55.1,15,3,0,0,5,35,0.648709,0.591465,0.2616
5,0,1,1,1,185,27,0.45,1,2,4995,1808,12.55,1,6,1,1,6,0,0.057121,0.140991,0.086598
9,1,3,0,3,1616,1758,29.3,28,82,2840928,1139802,50.7,17,3,0,0,1,42,0.836747,0.590866,0.26476
5,0,4,4,3,1577,170,2.83,5,155,268090,155502,28.52,11,6,0,1,1,42,0.960108,0.544142,0.288055
7,0,4,0,1,1200,593,9.88,10,69,711600,489816,57.38,1,1,1,0,3,45,0.715784,0.689479,0.381514
7,0,4,0,1,275,27,0.45,1,0,7425,2893,58.04,18,6,0,1,6,0,0.068915,0.180079,0.09669
9,1,0,3,3,1833,654,10.9,2,78,1198782,835623,8.22,19,4,0,0,8,25,0.652184,0.563134,0.255272
6,0,2,2,4,450,46,0.77,1,1,20700,10545,13.06,17,1,0,0,6,0,0.007445,0.055325,0.026105
8,0,2,0,4,652,1672,27.87,37,141,1090144,381478,1.94,1,5,1,1,3,41,0.882392,0.626443,0.471292
6,0,4,1,3,1126,923,15.38,12,189,1039298,554215,0.18,7,2,0,0,7,28,0.646291,0.658838,0.437682
7,0,2,5,4,248,14,0.23,1,5,3472,1676,21.4,20,2,0,0,6,0,0.135406,0.07062,0.034793
5,0,4,5,1,313,5,0.08,1,3,1565,773,27.0,23,1,1,0,6,0,0.062116,0.085997,0.009588
9,1,0,0,3,325,11,0.18,1,1,3575,2319,0.13,18,1,0,0,6,0,0.08198,0.063178,0.095525
6,0,4,1,1,409,23,0.38,1,0,9407,6468,25.52,2,0,1,0,6,0,0.014137,0.158671,0.095694
7,0,3,1,0,278,11,0.18,1,1,3058,1435,25.74,5,6,1,1,6,0,0.161911,0.08201,0.031725
5,0,1,1,1,901,1846,30.77,47,131,1663246,972764,21.37,22,0,0,0,5,35,0.768455,0.887161,0.233209
5,0,4,4,3,187,30,0.5,1,1,5610,3396,40.96,17,5,0,1,6,0,0.197955,0.042364,0.076581
8,0,2,0,4,246,10,0.17,1,0,2460,961,51.91,2,0,1,0,6,0,0.159581,0.000707,0.004863
7,0,2,5,4,1839,1067,17.78,20,83,1962213,765253,30.36,23,1,1,0,1,42,0.774609,0.592203,0.382287
5,0,1,1,1,756,1166,19.43,40,198,881496,545874,54.38,16,2,0,0,3,45,0.778842,0.864303,0.286357
8,0,2,0,4,764,1637,27.28,35,185,1250668,824807,5.52,21,2,0,0,7,28,0.721866,0.772808,0.239117
5,0,4,5,1,952,1584,26.4,2,185,1507968,804968,41.32,14,0,0,0,5,35,0.764582,0.892069,0.40193
8,0,4,3,3,462,48,0.8,1,5,22176,12410,3.09,0,5,1,1,6,0,0.167493,0.137743,0.007835
8,0,2,0,4,171,32,0.53,1,4,5472,2684,15.48,5,1,1,0,6,0,0.175268,0.111399,0.046361
10,1,3,3,3,1592,1124,18.73,7,175,1789408,1114359,58.93,1,1,1,0,0,30,0.894272,0.514274,0.548635
7,0,3,1,0,386,24,0.4,1,3,9264,5044,45.34,0,1,1,0,6,0,0.1221,0.002645,0.061953
7,0,2,1,4,1530,1426,23.77,35,19,2181780,1225187,25.39,23,1,1,0,8,25,0.673543,0.747661,0.160214
9,1,0,3,3,205,26,0.43,1,5,5330,1838,30.14,16,3,0,0,6,0,0.091678,0.085872,0.017822
